,spatial-minus-zoneMean-mrt,Size,Design,Weather,Operation
189,-0.31,Small,Standard,TMY,PASSIVE
190,-0.3,Small,Standard,TMY,PASSIVE
191,-0.3,Small,Standard,TMY,PASSIVE
192,-0.29,Small,Standard,TMY,PASSIVE
193,-0.29,Small,Standard,TMY,PASSIVE
194,-0.29,Small,Standard,TMY,PASSIVE
195,-0.3,Small,Standard,TMY,PASSIVE
196,-0.3,Small,Standard,TMY,PASSIVE
197,-0.28,Small,Standard,TMY,PASSIVE
198,0.14,Small,Standard,TMY,PASSIVE
199,0.24,Small,Standard,TMY,PASSIVE
200,0.52,Small,Standard,TMY,PASSIVE
201,0.99,Small,Standard,TMY,PASSIVE
202,1.32,Small,Standard,TMY,PASSIVE
203,1.42,Small,Standard,TMY,PASSIVE
204,1.33,Small,Standard,TMY,PASSIVE
205,1.16,Small,Standard,TMY,PASSIVE
206,0.79,Small,Standard,TMY,PASSIVE
207,0.41,Small,Standard,TMY,PASSIVE
208,0.16,Small,Standard,TMY,PASSIVE
209,0.22,Small,Standard,TMY,PASSIVE
210,-0.21,Small,Standard,TMY,PASSIVE
211,-0.28,Small,Standard,TMY,PASSIVE
212,-0.26,Small,Standard,TMY,PASSIVE
213,-0.24,Small,Standard,TMY,PASSIVE
214,-0.23,Small,Standard,TMY,PASSIVE
215,-0.26,Small,Standard,TMY,PASSIVE
216,-0.28,Small,Standard,TMY,PASSIVE
217,-0.31,Small,Standard,TMY,PASSIVE
218,-0.34,Small,Standard,TMY,PASSIVE
219,-0.36,Small,Standard,TMY,PASSIVE
220,-0.38,Small,Standard,TMY,PASSIVE
221,-0.34,Small,Standard,TMY,PASSIVE
222,0.24,Small,Standard,TMY,PASSIVE
223,0.78,Small,Standard,TMY,PASSIVE
224,0.55,Small,Standard,TMY,PASSIVE
225,0.89,Small,Standard,TMY,PASSIVE
226,1.25,Small,Standard,TMY,PASSIVE
227,1.51,Small,Standard,TMY,PASSIVE
228,1.52,Small,Standard,TMY,PASSIVE
229,1.32,Small,Standard,TMY,PASSIVE
230,0.66,Small,Standard,TMY,PASSIVE
231,0.34,Small,Standard,TMY,PASSIVE
232,0.56,Small,Standard,TMY,PASSIVE
233,0.18,Small,Standard,TMY,PASSIVE
234,-0.22,Small,Standard,TMY,PASSIVE
235,-0.26,Small,Standard,TMY,PASSIVE
236,-0.25,Small,Standard,TMY,PASSIVE
237,-0.23,Small,Standard,TMY,PASSIVE
238,-0.21,Small,Standard,TMY,PASSIVE
239,-0.27,Small,Standard,TMY,PASSIVE
240,-0.34,Small,Standard,TMY,PASSIVE
241,-0.38,Small,Standard,TMY,PASSIVE
242,-0.39,Small,Standard,TMY,PASSIVE
243,-0.39,Small,Standard,TMY,PASSIVE
244,-0.41,Small,Standard,TMY,PASSIVE
245,-0.3,Small,Standard,TMY,PASSIVE
246,0.29,Small,Standard,TMY,PASSIVE
247,0.78,Small,Standard,TMY,PASSIVE
248,0.64,Small,Standard,TMY,PASSIVE
249,0.97,Small,Standard,TMY,PASSIVE
250,1.31,Small,Standard,TMY,PASSIVE
251,1.48,Small,Standard,TMY,PASSIVE
252,1.4,Small,Standard,TMY,PASSIVE
253,1.21,Small,Standard,TMY,PASSIVE
254,0.66,Small,Standard,TMY,PASSIVE
255,0.38,Small,Standard,TMY,PASSIVE
256,0.49,Small,Standard,TMY,PASSIVE
257,0.14,Small,Standard,TMY,PASSIVE
258,-0.37,Small,Standard,TMY,PASSIVE
259,-0.44,Small,Standard,TMY,PASSIVE
260,-0.43,Small,Standard,TMY,PASSIVE
261,-0.43,Small,Standard,TMY,PASSIVE
262,-0.45,Small,Standard,TMY,PASSIVE
263,-0.49,Small,Standard,TMY,PASSIVE
264,-0.53,Small,Standard,TMY,PASSIVE
265,-0.57,Small,Standard,TMY,PASSIVE
266,-0.61,Small,Standard,TMY,PASSIVE
267,-0.63,Small,Standard,TMY,PASSIVE
268,-0.65,Small,Standard,TMY,PASSIVE
269,-0.6,Small,Standard,TMY,PASSIVE
